project,language,filename,blank,comment,code
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\mutex.h,29,39,220
redis,C/C++ Header,.\clones\redis\deps\hiredis\sds.h,19,40,219
redis,C/C++ Header,.\clones\redis\deps\lua\src\lobject.h,104,58,219
redis,C,.\clones\redis\deps\jemalloc\test\unit\prof_reset.c,55,13,218
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\sz.h,42,59,217
redis,C,.\clones\redis\tests\modules\blockedclient.c,71,38,216
redis,C,.\clones\redis\tests\modules\datatype.c,60,11,214
redis,C,.\clones\redis\deps\hiredis\dict.c,48,91,213
redis,C,.\clones\redis\deps\jemalloc\test\integration\extent.c,26,9,213
redis,C,.\clones\redis\deps\jemalloc\test\integration\rallocx.c,37,8,213
redis,Tcl/Tk,.\clones\redis\tests\unit\type\list-3.tcl,15,4,213
redis,C,.\clones\redis\deps\jemalloc\test\unit\qr.c,30,2,211
redis,C,.\clones\redis\tests\modules\eventloop.c,40,26,211
redis,C,.\clones\redis\deps\jemalloc\test\unit\witness.c,70,0,210
redis,JSON,.\clones\redis\src\commands\geosearchstore.json,0,0,210
redis,Tcl/Tk,.\clones\redis\tests\cluster\cluster.tcl,26,37,210
redis,Tcl/Tk,.\clones\redis\tests\unit\moduleapi\blockonkeys.tcl,24,5,210
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\smoothstep.h,3,20,209
redis,C,.\clones\redis\deps\lua\src\print.c,14,5,208
redis,C,.\clones\redis\deps\jemalloc\test\unit\nstime.c,41,1,207
redis,C,.\clones\redis\tests\modules\keyspace_events.c,50,39,207
redis,C,.\clones\redis\deps\lua\src\lmathlib.c,47,10,206
redis,Tcl/Tk,.\clones\redis\tests\unit\bitfield.tcl,24,2,206
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\bit_util.h,27,7,205
redis,Tcl/Tk,.\clones\redis\tests\integration\failover.tcl,60,30,204
redis,C/C++ Header,.\clones\redis\src\config.h,34,57,203
redis,JSON,.\clones\redis\src\commands\georadius.json,0,0,200
redis,C,.\clones\redis\deps\jemalloc\test\unit\prng.c,38,0,199
redis,C,.\clones\redis\tests\modules\stream.c,22,37,199
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\jemalloc_internal_inlines_c.h,30,45,198
redis,JSON,.\clones\redis\src\commands\geosearch.json,0,0,198
